Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Al Taawoun,1.26,1.9,-0.64,0.5,0.72,-0.22,0.0,0.42,-0.42,0.5,1.14,-0.64,1,1,0,0.64,36.9,27.13,45.88,0.17,0.78,137,7,6,20,35.29,25.64,20.89,4,6,8,1,7,41.5,13.21,92.93,79.16,35.33,14.61,0,Al Taawoun 1-1 Al Hilal,2026-02-24
Al Okhdood,0.66,3.52,-2.86,0.2,2.61,-2.41,0.46,0.14,0.32,0.66,2.76,-2.1,1,2,-1,1.86,49.7,46.44,47.38,0.28,0.71,158,7,10,26,35.71,36.62,9.26,3,9,16,3,11,33.6,25.19,28.2,48.62,26.93,19.34,0,Al Fateh 2-1 Al Okhdood,2026-02-23
Al Fateh,3.52,0.66,2.86,2.61,0.2,2.41,0.14,0.46,-0.32,2.76,0.66,2.1,2,1,1,-1.86,50.3,53.56,47.54,0.71,0.28,168,16,26,10,36.62,35.71,6.24,9,3,14,7,18,99.8,74.81,29.8,51.38,112.33,80.66,3,Al Fateh 2-1 Al Okhdood,2026-02-23
Al Riyadh,2.81,3.66,-0.85,1.87,2.51,-0.64,0.94,0.39,0.55,2.81,2.9,-0.09,1,3,-2,-1.15,54.2,65.83,51.66,0.83,0.74,248,20,25,15,30.12,20.27,11.97,9,3,32,9,9,136.1,81.25,36.27,52.57,90.69,56.68,2,Al Shabab 3-1 Al Riyadh,2026-02-23
Al Shabab,3.66,2.81,0.85,2.51,1.87,0.64,0.39,0.94,-0.55,2.9,2.81,0.09,3,1,2,1.15,45.8,34.17,42.13,0.74,0.83,127,11,15,25,20.27,30.12,18.89,3,9,14,5,7,31.4,18.75,32.73,47.43,69.32,43.32,1,Al Shabab 3-1 Al Riyadh,2026-02-23
Al Ettifaq,0.22,4.94,-4.72,0.22,4.86,-4.64,0.0,0.08,-0.08,0.22,4.94,-4.72,0,4,-4,0.72,38.9,22.78,35.75,0.37,1.76,85,3,2,22,5.41,12.5,17.79,0,14,12,0,11,3.2,1.12,53.07,55.4,0.0,0.0,0,Al-Qadsiah 4-0 Al Ettifaq,2026-02-23
Al-Qadsiah,4.94,0.22,4.72,4.86,0.22,4.64,0.08,0.0,0.08,4.94,0.22,4.72,4,0,4,-0.72,61.1,77.22,53.9,1.76,0.37,365,30,22,2,12.5,5.41,6.82,14,0,19,3,17,283.7,98.88,42.73,44.6,494.34,100.0,1,Al-Qadsiah 4-0 Al Ettifaq,2026-02-23
Al Ahli,1.47,0.74,0.73,1.44,0.72,0.72,0.03,0.01,0.02,1.47,0.74,0.73,1,0,1,0.27,40.7,46.96,46.88,0.3,0.45,117,9,4,13,13.33,28.89,8.21,1,6,11,3,22,47.9,30.28,69.2,78.28,72.1,56.07,1,Damac 0-1 Al Ahli,2026-02-23
Damac,0.74,1.47,-0.73,0.72,1.44,-0.72,0.01,0.03,-0.02,0.74,1.47,-0.73,0,1,-1,-0.27,59.3,53.04,44.39,0.45,0.3,167,11,13,4,28.89,13.33,5.89,6,1,16,5,11,110.3,69.72,19.2,21.72,56.5,43.93,0,Damac 0-1 Al Ahli,2026-02-23
NEOM,1.84,0.24,1.6,0.8,0.22,0.58,0.27,0.01,0.26,1.08,0.24,0.84,1,0,1,-0.6,59.6,65.37,55.31,1.2,0.21,318,21,14,3,11.67,14.29,8.73,4,5,25,7,13,226.3,84.38,18.53,18.47,162.87,81.64,2,Al Khaleej 0-1 NEOM,2026-02-21
